name,email,phone,grade_level
أحمد محمد - الأول الابتدائي,ahmed1@example.com,0501234567,1
سارة خالد - الثاني الابتدائي,sara2@example.com,0502345678,2
محمد علي - الثالث الابتدائي,mohamed3@example.com,0503456789,3
فاطمة سعيد - الرابع الابتدائي,fatima4@example.com,0504567890,4
خالد عبدالله - الخامس الابتدائي,khaled5@example.com,0505678901,5
نورة أحمد - السادس الابتدائي,noura6@example.com,0506789012,6
عبدالرحمن حسن - الأول الإعدادي,abdulrahman7@example.com,0507890123,7
مريم يوسف - الثاني الإعدادي,mariam8@example.com,0508901234,8
يوسف محمود - الثالث الإعدادي,youssef9@example.com,0509012345,9
لينا عمر - الأول الثانوي,lina10@example.com,0551234567,10
عمر سالم - الثاني الثانوي,omar11@example.com,0552345678,11
هدى فهد - الثالث الثانوي,huda12@example.com,0553456789,12
